"kjonn","alder","ansvar","likhet","staasted"
2,21,5,3,4
1,38,5,2,5
2,61,8,3,6
1,62,7,2,2
1,37,9,3,1
1,65,8,2,5
2,47,4,4,7
2,43,10,2,4
1,66,8,2,4
2,48,5,2,5
2,39,7,2,3
2,54,6,3,5
1,35,10,3,0
1,56,5,4,3
1,62,10,3,5
2,61,6,2,5
2,64,5,3,5
2,57,5,3,5
2,80,8,3,3
2,70,5,4,5
1,52,3,2,5
1,17,8,2,3
1,23,2,3,6
1,35,6,4,8
1,52,7,2,4
2,27,8,2,3
1,18,10,2,3
1,20,8,1,3
1,32,7,3,5
1,34,8,2,4
2,51,4,3,2
1,22,5,2,6
1,79,8,3,5
1,48,0,2,5
1,39,7,3,5
1,62,5,3,6
1,66,3,4,4
1,76,4,2,8
1,29,3,2,2
2,46,5,3,3
2,15,9,1,5
1,20,6,3,4
1,62,4,4,7
1,43,3,3,7
1,20,9,3,0
1,56,5,2,5
2,75,5,3,5
1,41,5,2,4
1,59,10,2,2
2,74,7,3,6
1,49,5,3,7
1,46,5,2,8
1,63,5,3,3
2,31,8,4,2
2,20,6,2,5
2,26,2,2,7
1,50,5,4,3
2,22,5,4,5
2,75,5,2,5
2,27,7,2,5
1,41,5,4,7
2,50,5,2,5
1,58,10,2,5
2,49,6,2,5
2,65,4,4,4
1,26,6,2,NA
1,40,4,3,5
1,42,3,4,7
2,17,3,1,3
2,79,5,2,5
2,50,4,4,7
2,36,4,3,5
2,21,8,1,NA
1,22,8,3,3
1,31,7,4,6
1,61,4,2,5
1,20,9,2,5
1,56,6,4,3
1,46,5,2,4
2,33,6,3,3
1,74,8,3,NA
2,51,4,4,5
1,80,5,2,6
1,19,10,4,5
2,28,5,2,4
1,53,7,2,3
2,40,3,4,5
1,35,3,3,3
1,53,5,3,2
2,62,5,2,4
2,19,5,4,5
1,31,8,1,2
2,64,7,2,1
1,29,4,2,5
1,70,4,2,8
2,23,7,1,3
1,74,7,3,5
2,58,4,2,3
2,63,7,2,4
2,82,7,3,5
1,39,8,4,5
1,36,10,5,3
2,27,9,1,4
1,46,4,3,6
1,52,5,2,0
2,53,5,3,5
1,45,6,2,4
2,46,5,2,5
2,32,6,2,4
2,30,5,3,5
1,16,4,2,6
1,47,2,2,8
2,81,8,2,7
1,18,5,4,3
2,23,8,2,4
1,66,5,4,6
2,18,5,5,1
1,33,NA,NA,5
1,52,0,3,7
1,59,5,2,3
1,55,4,3,6
2,56,7,4,NA
1,69,4,3,5
1,21,6,4,2
2,37,5,4,5
2,35,7,3,8
2,44,2,3,5
2,59,6,2,3
2,25,4,4,4
2,54,3,3,4
1,36,10,5,5
1,55,5,5,7
2,15,5,3,5
2,51,3,2,6
2,65,5,2,5
1,67,3,4,5
2,16,3,4,5
2,51,6,4,3
2,48,6,5,6
2,76,4,4,8
2,18,6,2,2
2,73,6,4,5
1,76,10,5,2
1,54,5,2,4
2,57,6,2,NA
1,66,4,3,5
1,71,8,3,5
2,17,2,3,2
2,59,10,2,2
2,27,7,4,5
2,34,4,2,2
2,73,7,2,3
2,31,10,3,5
2,74,4,2,3
2,25,4,2,5
2,74,5,4,3
1,63,10,2,3
2,54,8,3,5
1,31,6,2,4
2,45,5,2,5
2,40,7,2,5
1,36,8,3,5
1,38,3,2,5
2,55,6,3,5
1,63,7,3,0
2,30,6,2,4
1,57,5,3,6
1,42,3,2,5
1,42,7,3,3
2,73,5,3,5
1,74,5,3,7
1,44,8,3,2
2,17,6,2,1
2,57,8,2,5
1,67,6,2,5
1,26,6,2,5
1,58,5,2,5
2,57,5,3,5
1,61,7,2,6
2,88,7,2,4
1,60,3,2,5
2,18,5,2,4
1,66,2,3,5
2,59,5,3,6
2,64,8,2,4
2,64,8,2,NA
1,59,8,3,8
1,64,5,3,8
1,63,3,2,5
1,68,5,4,5
1,27,4,3,6
2,38,5,NA,5
2,51,8,2,4
1,50,8,3,4
1,49,10,3,2
1,47,4,4,6
2,15,5,2,NA
1,47,5,2,4
1,17,7,3,5
1,55,8,2,5
1,78,5,2,7
1,33,5,3,6
1,61,8,2,4
1,50,9,2,5
1,55,4,3,5
1,38,5,4,7
1,31,5,3,6
1,72,10,2,5
1,43,3,3,9
1,63,8,2,0
2,34,10,2,3
1,16,3,3,4
2,70,7,4,2
2,59,6,4,4
1,25,7,3,6
1,52,6,4,1
1,32,10,2,2
2,46,6,2,4
2,41,3,4,4
2,31,7,4,5
2,39,6,3,3
1,47,6,3,4
1,48,5,3,3
1,70,7,2,4
1,56,8,1,3
1,48,4,3,5
1,75,7,3,4
2,46,8,2,4
2,61,9,2,7
2,42,6,4,5
2,24,8,2,2
2,54,3,4,8
2,84,8,4,4
1,44,8,2,4
2,30,7,3,4
2,20,8,2,5
2,53,7,3,3
2,26,6,1,7
1,19,9,4,4
1,51,2,4,5
2,37,7,3,5
1,55,6,3,5
1,42,5,3,4
1,26,10,5,2
1,35,7,3,5
1,83,5,2,4
2,65,5,3,7
2,35,3,4,5
1,57,7,3,5
2,52,5,3,5
2,75,5,4,1
2,42,7,4,4
2,37,5,2,3
2,53,5,3,2
1,49,6,1,4
2,47,5,3,5
1,57,8,1,3
2,16,5,4,5
1,53,8,4,4
1,51,5,4,2
1,22,8,1,3
1,64,5,2,5
1,40,5,3,2
1,49,4,2,5
2,40,3,4,3
1,39,7,2,7
1,25,9,1,6
1,32,5,4,2
1,64,8,2,NA
1,17,6,2,5
1,32,10,2,6
1,47,4,3,6
1,34,4,3,0
1,24,7,1,NA
1,60,6,2,5
2,19,6,2,5
2,69,8,NA,NA
1,19,6,2,5
1,25,3,4,5
1,59,6,5,5
2,62,3,3,5
1,36,4,3,5
1,34,10,2,6
2,49,10,2,5
1,55,6,2,6
2,53,5,2,NA
1,15,9,2,3
2,76,5,3,6
1,55,9,2,8
2,56,6,4,3
1,54,3,2,4
2,30,5,3,4
2,45,8,2,1
1,71,9,1,8
1,44,7,3,5
1,50,5,2,5
1,80,7,2,3
1,69,3,3,5
2,66,4,2,5
1,39,7,2,7
1,44,5,2,5
1,76,9,2,4
2,49,3,2,5
1,61,8,2,3
2,17,4,2,0
1,56,6,3,3
1,53,6,2,5
1,21,5,2,5
2,24,7,3,3
1,36,5,2,5
1,38,7,2,2
1,32,6,3,4
1,18,5,NA,5
2,43,5,4,3
1,33,7,3,2
2,56,5,4,7
2,29,4,4,5
2,22,4,2,5
2,28,3,4,NA
1,23,5,5,4
1,19,10,NA,3
1,54,5,3,5
1,16,6,4,5
2,49,NA,2,5
2,42,3,5,NA
2,56,8,4,6
2,21,5,3,5
1,53,5,4,5
2,41,7,4,5
2,46,5,3,5
2,29,5,4,5
2,28,6,2,2
1,80,8,4,8
2,72,6,3,5
1,17,10,1,0
2,47,5,2,2
2,33,6,2,5
1,53,10,2,2
1,67,8,2,4
2,27,8,4,3
2,54,4,3,2
2,33,9,2,5
2,62,4,3,6
1,54,6,2,4
1,42,6,3,6
1,16,5,2,6
1,61,3,3,7
1,51,6,2,5
1,39,7,2,4
2,40,2,4,5
2,35,8,2,5
1,66,10,5,1
1,17,7,2,4
2,27,8,4,5
1,31,6,2,3
1,51,10,1,2
2,57,4,2,3
1,66,7,2,7
2,17,5,2,3
2,21,3,4,5
1,70,10,3,5
2,75,6,2,5
1,54,8,5,7
2,52,3,3,5
2,51,5,4,3
1,60,5,2,5
2,44,5,2,4
2,61,4,2,7
1,18,5,4,5
1,28,8,4,5
2,61,5,3,5
1,67,7,3,5
2,23,7,2,3
1,69,3,4,6
2,49,5,3,6
2,23,5,2,5
2,18,8,2,3
1,59,6,2,4
1,52,5,3,7
2,59,6,2,4
1,70,8,2,5
2,58,5,4,5
2,45,5,2,3
1,56,8,4,1
2,43,2,3,5
2,51,6,3,2
1,26,8,3,5
1,31,8,2,4
1,34,6,2,5
1,44,4,2,5
1,49,7,4,6
1,79,7,2,7
1,44,8,4,2
2,86,5,2,NA
1,60,3,4,5
2,50,7,3,5
2,44,6,4,4
2,17,8,3,2
1,39,4,3,6
1,71,7,2,2
2,65,5,2,5
1,32,8,3,7
1,69,4,3,5
2,59,3,4,3
2,43,6,3,4
1,58,6,2,3
2,55,5,NA,5
1,40,5,2,3
2,51,5,4,5
1,25,10,1,6
2,58,6,3,5
1,18,7,3,7
1,36,5,2,5
2,48,10,2,5
2,78,5,3,5
1,48,7,2,5
1,59,3,2,6
1,16,7,2,5
1,37,8,1,4
2,82,7,2,3
1,69,5,2,5
1,51,8,3,3
1,36,6,2,5
2,17,6,2,3
2,55,7,2,5
2,35,7,2,5
1,77,5,2,3
2,77,2,3,4
2,27,4,4,4
2,29,5,4,3
2,60,8,3,7
1,48,6,2,6
1,56,7,2,7
